,Date,Tweet,Tweet Source,Retweets,Likes,Location,Clean Tweet,SS
32,2021-01-01 11:21:14,"Why is it bothering you?? #AAP

Among all the leaders @RahulGandhi Was the only one who stood against #FarmersBill ,  all others joined later after agitation reached Delhi. https://t.co/aUpbafXCjm",Twitter for Android,0,2,space..... ,why bothering you among all the leaders was the only one who stood against all others joined later after agitation reached delhi,NEGATIVE
33,2021-01-01 11:17:19,"@Kisanektamorcha @narendramodi If govt. ensures through an amendment to the present farm laws that apmc will remain for the next 50 years and govt shall procure whatever may come. Let this be new year's present from 🇮🇳 to frmers.
#FarmersProtests #FarmersBill #farmersbill_2020",Twitter for Android,0,0,"Assam, India",govt ensures through amendment the present farm laws that apmc will remain for the next years and govt shall procure whatever may come let this new years present from frmers,POSITIVE
34,2021-01-01 10:23:31,Watch @rohit_chahal Bhai on Republic at 6 PM #FarmersBill https://t.co/Z7ied1llPG,Twitter for Android,0,0,New Delhi - Lucknow- Hyderabad,watch bhai republic,POSITIVE
35,2021-01-01 09:59:30,"Kerala BJP MLA MisGuided by Opposition
Lone BJP MLA, O Rajagopal  backs resolution passed by Kerala Assembly against farm laws  https://t.co/2kqqGhtVqq 

#farmersrprotest #FarmersBill #KisanVirodhiNarendraModi #KisanProtest",Twitter Web App,0,0,"Ahmadabad City, India",kerala bjp mla misguided opposition lone bjp mla rajagopal backs resolution passed kerala assembly against farm laws,NEGATIVE
36,2021-01-01 09:45:10,No farmer of this soil has to prove himself over and over again . Repeal #FarmersBill #HitlerModiAgainstFarmers https://t.co/gFsckN2Sh4,Twitter for Android,1,0,,farmer this soil has prove himself over and over again repeal,NEGATIVE
37,2021-01-01 09:42:08,"@VijaySethuOffl Ofcourse, this picture also shown on your( illuminati ) cowardice. We waiting for fall your shame. You can't beat Green.
#Farmersbill",Twitter for Android,0,0,,ofcourse this picture also shown your illuminati cowardice waiting for fall your shame you cant beat green,NEGATIVE
38,2021-01-01 09:06:12,"""Scrap 3 Farm Laws Lest Kerala Starves"": Unanimous Assembly Resolution #kerala #FarmersProtests #FarmersBill #FarmLaws #Modi https://t.co/b9hXF19lT7",Twitter for iPhone,4,6,,scrap farm laws lest kerala starves unanimous assembly resolution,NEGATIVE
39,2021-01-01 08:27:29,"Our people are for us,
For the country,
for the people of the country..!!
  💔💔💔
#ISupportFarmerBill #IStandWithTheFarmers #delhifarmersprotest #Farmers 
#Farmers #2021 #FarmersBill 
#Farmers https://t.co/HMkjSqLI2q",Twitter for Android,0,3,,our people are for for the country for the people the country,POSITIVE
40,2021-01-01 08:18:12,For those who have an open mind to listen to all sides of the issue related to #FarmersBill please do read this. https://t.co/LfJslPj9ci,Twitter for Android,0,1,Bangalore,for those who have open mind listen all sides the issue related please read this,POSITIVE
41,2021-01-01 08:16:13,"@diljitdosanjh @ndtv @republic @KanganaTeam @PMOIndia @aajtak @TimesNow @timesofindia 

PLEASE THINK ABOUT THE PEOPLE WHO BREATHE 900 ppm AIR ENTIRE WINTER.

@diljitdosanjh pls pls.

#FarmersBill #FarmerBill2020 #FarmersWithModi #FarmLawsOnlyFlaws",Twitter Web App,0,0,,please think about the people who breathe ppm air entire winter pls pls,POSITIVE
42,2021-01-01 08:03:06,"Prediction #5
If the farmer's protest in India doesn't resolve by next week.. it will furthur escalate &amp; even grow violent.
#FarmersBill #prediction2021 #astrology",Twitter for Android,0,1,,prediction the farmers protest india doesnt resolve next week will furthur escalate amp even grow violent,NEGATIVE
43,2021-01-01 08:01:28,@vinodkapri Piyush Goyal threatned farmers #PiyushGoyal #FarmersBill,Twitter Web App,0,0,,piyush goyal threatned farmers,NEGATIVE
44,2021-01-01 07:23:16,@venkyuvacha @rvaidya2000 @mohandastg Did #ORajagopal come out publicly and condemn #Media for misreporting his stance on #FarmersBill ?,Twitter Web App,0,0,coromandal coast,did come out publicly and condemn for misreporting his stance,NEGATIVE
45,2021-01-01 07:22:25,@rvaidya2000 @mohandastg am sure @rajeev_mp must know. or else @RajeevSrinivasa could well make the right guess. #FarmersBill,Twitter Web App,0,0,coromandal coast,sure must know else could well make the right guess,NEGATIVE
46,2021-01-01 07:21:46,"Ushering in New year at jantar mantar Delhi along with our families. We prayed to WAHEGURU 3to give strength to fight for the rights of our farmers. 
#farmdraconians #FarmersBill #Farmers #farmer #tractor2tweeter @GurjeetSAujla @RavneetBittu @KulbirSinghZira @szarita https://t.co/0PD0CjxURu",Twitter for Android,6,31,,ushering new year jantar mantar delhi along with our families prayed waheguru give strength fight for the rights our farmers,POSITIVE
47,2021-01-01 07:14:04,"New Year's Eve: Farmers Continue Protest
#Farmers #FarmersProtest #FarmersBill #FarmersBill2020  
https://t.co/rWKheZOUI0",Twitter Web App,0,0,India,new years eve farmers continue protest,NEGATIVE
48,2021-01-01 06:58:46,@ImranAli845 @MohdBM793 #jaikisaan #farmersrprotest #FarmersBill #HAPPYNEWYEAR all farmers i wish this year all your problems will be solved,Twitter for iPhone,1,1,Seattle,all farmers wish this year all your problems will solved,POSITIVE
49,2021-01-01 06:12:06,"#FarmersProtests 
#delhiprotest 
#PunjabFarmers 
#tnfarmers 
#FarmersBill 
#farmers
Let's keep support them",Twitter for Android,0,0,,lets keep support them,POSITIVE
50,2021-01-01 06:07:39,Why people tended to beef.since there was no farm product of their own. They depended on neighbouring states for vegetables so does it matter if they dont support #FarmersBill #keralamodel is a fail https://t.co/5yLWlF6H66,Twitter for Android,0,0,Bharatha,why people tended beefsince there was farm product their own they depended neighbouring states for vegetables does matter they dont support fail,NEGATIVE
51,2021-01-01 05:54:21,"This New year Will come with new Hope, and News Challenges for Us. We will fight with more power against this fascist regime 2021 Stand With Farmers #FarmersProtests #FarmersBill",Twitter for Android,0,0,,this new year will come with new hope and news challenges for will fight with more power against this fascist regime stand with farmers,POSITIVE
52,2021-01-01 05:32:41,@GiantsKisaan @TELUS @ZEE5CAC @PunYaab @SureHealthCan @BillaAppliances @40_nish @v4uproduction @kapra_mandi @NeetuGarcha @WorldSikhOrg @TELUSCommunity @gurpreetonair @TELUS @ZeeNewsEnglish is trying to defame you in India. #FarmersBill #FarmersProstest,Twitter for Android,0,1,"Winnipeg, Canada",community trying defame you india,POSITIVE
53,2021-01-01 05:12:10,Hope new year brings #TooMuchDemocracy in existence #farmersrprotest #FarmersAppealTotalRepeal #FarmersBill #Farmers #FarmersProtest #ModiSellingFarmers #ModiMadeDisaster #ModiNaukarAmbaniAdaniKa #modikisanvirodhihai,Twitter for Android,0,1,"Chandigarh, India",hope new year brings existence,POSITIVE
54,2021-01-01 04:56:36,"@PMOIndia @KanganaTeam @republic @ZeeNewsEnglish @aajtak @ABPNews @BJP4India  #farmersrprotest  #FarmersBill #FarmersProtestHijacked by indian media
India's huge farmer protests, explained https://t.co/sWLcqpnPp4",Twitter Web App,0,0,,indian media indias huge farmer protests explained,NEGATIVE
55,2021-01-01 04:46:15,"Watch here farmers protests full documentary
#farmersrprotest
#FarmersBill
#delhiprotest
#Hello2021
#HappyNewYear2021
..................... Click👇............. 
https://t.co/9sSksKDkiX",Twitter for Android,0,0,"New Delhi, India",watch here farmers protests full documentary click,NEGATIVE
56,2021-01-01 03:54:59,"@akshaykumar In #2022 @akshaykumar  will be starring in a movie called #FarmersBill  just to make money and will be talking all that rubbish i feel proud of being punjabi and kissan yeh hain woh hain, they feed us, but when they need support he is ignoring it coz that doesnt give him money🙄",Twitter for iPhone,0,3,New Zealand,will starring movie called just make money and will talking all that rubbish feel proud being punjabi and kissan yeh hain woh hain they feed but when they need support ignoring coz that doesnt give him money,NEGATIVE
57,2021-01-01 03:51:31,"@mastersheefu_

Good Morning
🙏🙏🙏

To support farmers I am posting this picture
🌾🌾🌾 

#HappyNewYear2021 💐💐
#WeStandWithFarmers 
#FarmersBill https://t.co/WzMLRSQcoy",Twitter for Android,1,2,"New Delhi, India",good morning support farmers posting this picture,POSITIVE
58,2021-01-01 03:21:40,"https://t.co/K1CgaoGAfk 
Watch this video and see the unity of people fighting for their #rights . This is the beauty of #FarmersProtests  ✊🏻✊🏻 .

#FarmersProtests #Standwithfarmerschallenge #Punjab #Haryana #FarmersBill #FarmersProtest #FarmersAppealTotalRepeal #delhichalo",Twitter for Android,0,3,,watch this video and see the unity people fighting for their this the beauty,POSITIVE
59,2021-01-01 03:21:15,"Happy Birthday #akhilgogoi
@pbhushan1 @_YogendraYadav @ArvindKejriwal @DrKumarVishwas @SangmaConrad @thekiranbedi  #FarmersBill #Farmers #farmersrprotest #kisanandolan #kisaan #kisan",Twitter Web App,0,0,,happy birthday,POSITIVE
60,2021-01-01 03:05:33,"Kerala's tallest BJP leader opposes the #FarmersBill 
Malayalis are something else. 🥰
https://t.co/F2HMH4KiiB",Twitter for Android,3,9,Not Hindu Rashtra,keralas tallest bjp leader opposes the malayalis are something else,POSITIVE
61,2021-01-01 03:03:07,@vijayanpinarayi Biggest joke that assembly has passed a legalization against #FarmersBill and made such high claims on farming activities in Kerala.Why is then that u have written to CMs in TN and Maharashtra to buy directly from farmers to meet reqmnts of Kerala . https://t.co/AM0QRhk5Bq,Twitter for Android,0,0,,biggest joke that assembly has passed legalization against and made such high claims farming activities keralawhy then that have written cms and maharashtra buy directly from farmers meet reqmnts kerala,NEGATIVE
62,2021-01-01 02:58:07,"FARMERS' PROTEST
⬇️  ⬇️
So here are my views... those who were asking me to make video can see 😅
 
https://t.co/NILDfqws9G

Your feedback is important for me 💚 #happynewyear2021 

🔥#farmersBill #harjotkaur #h2r #farmersprotest #HappyNewYear2021

 *Like share comment*",Twitter for Android,0,3,"Hoshiarpur, India",farmers protest here are views those who were asking make video can see your feedback important for like share comment,NEGATIVE
63,2021-01-01 01:45:11,"Is Narendra Modi's Demagoguery Finally Losing Its Bite?
Aptly put maan ki baat &amp; ache din losing steam #FarmersBill #FarmersProtests #FarmLaws
#BoycottRelianceProducts equal too #BoycottChina
https://t.co/sgvfpEGZLN",Twitter for Android,1,1,fort kochi,narendra modis demagoguery finally losing its bite aptly put maan baat amp ache din losing steam equal too,NEGATIVE
64,2021-01-01 01:31:15,"@BTS_twt MIND YOU THE PROTEST HAS BEEN PEACEFUL SINCE THE BEGINNING. 

If you are interseted in knowing more about this please leave a comment and send me a message. 

Use the #FARMERSBILL #ISUPPORTFARMERS #KISSANMAJDOOREKTAZINDABAD on your posts on weverse and twitter",Twitter for iPhone,0,0,India,mind you the protest has been peaceful since the beginning you are interseted knowing more about this please leave comment and send message use the your posts weverse and twitter,NEGATIVE
65,2021-01-01 01:29:32,"@RahulGandhi #FarmersBill
#Pappu 
#RahulGlobalInsult 
#पप्पू_का_प्रमाणपत्र 
 internationally hits the shining image of @RahulGandhi mentioning in his autobiography #BarDancerDay as lacking aptitude &amp; a nervous student.! 😆😂😆
Some insults
https://t.co/3yQ8s0MnGs",Twitter for Android,2,5,Visakhapatnam,प_क_परमणपतर internationally hits the shining image mentioning his autobiography lacking aptitude amp nervous student some insults,NEGATIVE
66,2021-01-01 01:17:02,"@RahulGandhi #FarmersBill
#Pappu 
#RahulGlobalInsult 
#पप्पू_का_प्रमाणपत्र 
 internationally hits the shining image of @RahulGandhi mentioning in his autobiography #BarDancerDay as lacking aptitude &amp; a nervous student.! 😆😂😆
Some insults
https://t.co/3yQ8s0MnGs
#Welcome2021 #Hello2021",Twitter for Android,23,69,Visakhapatnam,प_क_परमणपतर internationally hits the shining image mentioning his autobiography lacking aptitude amp nervous student some insults,NEGATIVE
67,2021-01-01 00:32:10,"I don’t believe, i should wish new year to anyone Because My Brothers,Elders and Sisters are Protesting and No One Is listening them. I Believe my New year is not starting until @narendramodi @PMOIndia  take back #FarmersBill .
#isupportfarmerprotest #kissanmajdoorektazindabad",Twitter for iPhone,1,0,"Nova Scotia, Canada",dont believe should wish new year anyone because brotherselders and sisters are protesting and one listening them believe new year not starting until take back,NEGATIVE
68,2020-12-31 23:37:29,"Me - what is farm bills, 3 of them? 
Jatt surd- it’s a anti farmer bill 
Me- why? 
Jatt Surd - you are not a farmer you won’t understand (while this person drives Uber and flips burger)
Me- aur details??
Jatt Surd - mudi is bad,must resign, Adani and ambani are bad 
#FarmersBill",Twitter for iPhone,0,7,India and New Zealand ,what farm bills them jatt surd its anti farmer bill why jatt surd you are not farmer you wont understand while this person drives uber and flips burger aur details jatt surd mudi badmust resign adani and ambani are bad,NEGATIVE
69,2020-12-31 23:35:46,Can Mr. Harish at @thewire_in explain in detail what is wrong with the #FarmersBill ??? https://t.co/cxmm3IJw5C,Twitter for Android,0,0,Colourful Country of the World,can harish explain detail what wrong with the,NEGATIVE
70,2020-12-31 22:13:43,Happy New Year #india #FarmersBill #FarmersProtest #NewYear2021 #lastdayof2020 #2021makeawish #FarmersBill2020 https://t.co/Vij1xxgtwH,Twitter for Android,0,0,New Delhi,happy new year,POSITIVE
71,2020-12-31 21:12:04,"Look at this... waheguru mehr kare

#iSupportFarmars #Farmers #GodiMedia #FarmersBill #KisanEktaZindaabaad @diljitdosanjh @GippyGrewal @JJassiOfficial @BawaRanjit @jazzyb https://t.co/qm0ehB8ceK",Twitter for iPhone,2,4,India,look this waheguru mehr kare,POSITIVE
72,2020-12-31 21:02:28,"Who’s death hurt you more in 2020?

#2021makeawish #HAPPYNEWYEAR2021 #GoodBye2020 #HAPPYNEWYEAR #SidharthShukla #SidNaaz #AsimRiaz #FarmersWithModi #Farmers #FarmersBill #SSRDishaSeekJustice #CBIEndSilenceInSSRcase #SushantSinghRajput #SalmanKhan #BiggBoss14 #ShehnaazGill #RKV",Twitter for iPhone,0,1,,whos death hurt you more,NEGATIVE
73,2020-12-31 20:57:42,What u want desperately in 2021? #2021makeawish #HAPPYNEWYEAR2021 #GoodBye2020 #HAPPYNEWYEAR #SidharthShukla #SidNaaz #AsimRiaz #FarmersWithModi #Farmers #FarmersBill #SSRDishaSeekJustice #CBIEndSilenceInSSRcase #SushantSinghRajput #SalmanKhan #BiggBoss14 #ShehnaazGill #RKV,Twitter for iPhone,0,0,,what want desperately,NEGATIVE
74,2020-12-31 20:36:07,"@narendramodi  plz... Make sure #FarmersBill  be taken. 
Then.#boycoytambaniadani.",Twitter for Android,0,0,,plz make sure taken then,POSITIVE
75,2020-12-31 20:26:34,#leftist #ScumMedia @voxdotcom is reporting #FarmersBill as an attack on #farmers! Whom did they interview for it??? Evident that it’s another fkin propaganda,Twitter Web App,0,0,USA/India,reporting attack whom did they interview for evident that its another fkin propaganda,NEGATIVE
76,2020-12-31 19:23:06,"Hence proved 
#farmersrprotest #FarmersProtestHijacked #FarmersBill #FarmersWithModi https://t.co/OCeyrIx7X7",Twitter for Android,0,3,"Asarwa, Ahmadabad City",hence proved,POSITIVE
77,2020-12-31 18:13:21,"Support the Farmers in India.

#FarmersProtest
#NoFarmerNofood
#FarmersBill

https://t.co/qIM2Ztmfpr",Twitter for Android,0,1,"England, United Kingdom",support the farmers india,POSITIVE
78,2020-12-31 18:12:22,"Has anyone ever seen ‘Govt VS Farmers’?

Welcome to my country 

#FarmersBill #GodiMediaAgainstFarmers 
#DelhiFarmersProtest #FarmerProtest #TakeBackFarmBills #TakeBackFarmBills2020 

@JustinTrudeau @dhruv_rathee @PMOIndia @narendramodi @Lakhasidhana1 @JoeBiden @sukhpre04150115 https://t.co/qid6NI4u7o",Twitter for iPhone,1,2,,has anyone ever seen govt farmers welcome country,POSITIVE
79,2020-12-31 17:59:37,"To the people who think farmers are not understanding and its good for them
#FarmersBill #FarmersProtests 
Kudos to @voxdotcom for taking up on this topic, hope around the world people will understand this better https://t.co/SiLOM6HhoI",Twitter for Android,0,0,,the people who think farmers are not understanding and its good for them kudos for taking this topic hope around the world people will understand this better,POSITIVE
80,2020-12-31 17:49:58,"These protests only serve:
1. Khalistanis
2. China ( who wants JIO to give up its next venture in 5G)
3. Stop India based corporates from growing
4. Help middlemen 

You cannot punish government for giving options.
#FarmersBill 
#FarmersWithModi 
#FarmerProtestHijacked",Twitter for iPhone,0,1,"Pune, India",these protests only serve khalistanis china who wants jio give its next venture stop india based corporates from growing help middlemen you cannot punish government for giving options,NEGATIVE
81,2020-12-31 17:17:22,Spending the last 2 days of 2020 reading #FarmersBill we need this reform @narendramodi please sir don't take any step back. #ISupportFarmerBill only those who oppose #BJP &amp; #ModiWithFarmers are against.,Twitter for iPhone,0,0,"Brighton, England",spending the last days reading need this reform please sir dont take any step back only those who oppose amp are against,NEGATIVE
82,2020-12-31 16:01:34,"Will Namo ever listen to others Mann ki baat? N doing everything what his Mann says.
#NarendraModi #FarmersBill #MukeshAmbani #FarmersProtest https://t.co/1TistTm6om",Twitter for Android,0,5,"Pune, India",will namo ever listen others mann baat doing everything what his mann says,NEGATIVE
83,2020-12-31 16:01:04,"We will fight till our last breath.  

#kissanmovement  #farmersprotest #kissan #Delhi #supportfarmers  #farmerbill2020 #farmersbill #farmersbill2020 #farmerbill #instagram #instagood #love #like #follow #photooftheday #instadaily #picoftheday #life #inspiration #instamood https://t.co/XdAENGx9JH",Twitter for Android,0,1,,will fight till our last breath,POSITIVE
